product_id,title,description,price,discount
1,Pink Elite Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,23.73,15
2,Silver Active Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,886.79,15
3,Blue Plus Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,905.59,30
4,Green Max Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",665.8,20
5,Black Pro Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,480.8,5
6,Gray Elite Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",406.98,10
7,Silver Plus Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",153.6,30
8,Green Active Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,846.94,10
9,Silver Flex Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",511.67,10
10,Navy Elite Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,311.56,30
11,Red Max Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,334.27,20
12,Orange Flex Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,515.23,15
13,Gray Max Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,978.97,10
14,Navy Elite Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,770.06,5
15,Black Sport Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,162.58,25
16,Pink Plus Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,480.78,0
17,Silver Elite Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,970.93,15
18,Blue Lite Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,56.53,5
19,Blue Lite Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",459.49,20
20,Navy Sport Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,303.79,30
21,Gray Pro Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,570.15,20
22,Orange Sport Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,320.4,15
23,Blue Sport Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,940.9,20
24,White Plus Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",541.98,10
25,Blue Ultra Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,388.63,15
26,Black Flex Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",401.66,25
27,Silver Premium Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",263.71,30
28,Silver Lite Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,748.04,25
29,Green Elite Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",342.97,0
30,Green Flex Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,857.32,30
31,Green Ultra Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,204.16,15
32,Silver Active Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,693.83,0
33,Blue Elite Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,421.44,25
34,Silver Flex Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,101.81,15
35,Silver Pro Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,262.72,25
36,White Elite Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,20.27,15
37,Gray Ultra Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,343.94,0
38,Pink Ultra Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,527.64,5
39,White Elite Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",323.31,10
40,Black Plus Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,29.76,25
41,Blue Active Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,521.44,25
42,Orange Flex Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,296.61,30
43,Blue Sport Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,578.66,5
44,Navy Active Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",116.73,5
45,Black Ultra Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,540.58,0
46,Navy Plus Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",818.41,0
47,Black Pro Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",338.33,25
48,Green Ultra Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,109.44,10
49,Red Active Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",698.04,5
50,Blue Sport Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,95.62,15
51,Silver Elite Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,628.44,20
52,Red Pro Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,796.9,5
53,Pink Plus Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,529.34,0
54,Orange Plus Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,973.03,30
55,Gray Elite Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,930.71,20
56,Orange Plus Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,656.35,25
57,Blue Premium Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,378.6,15
58,Blue Plus Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,330.75,0
59,Orange Plus Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",713.49,20
60,Red Ultra Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,614.75,5
61,Navy Premium Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,400.27,30
62,Pink Plus Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,846.81,5
63,Orange Sport Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,253.48,5
64,Pink Lite Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",880.52,10
65,Orange Elite Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,318.52,10
66,Navy Plus Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",647.09,25
67,Navy Ultra Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",437.75,10
68,Green Ultra Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,301.32,10
69,Gray Plus Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",348.23,0
70,Blue Premium Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,275.79,5
71,Navy Ultra Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,393.1,15
72,Gray Elite Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,986.93,20
73,White Lite Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,92.6,10
74,Orange Ultra Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,770.85,0
75,Blue Lite Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,731.03,25
76,Silver Active Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,39.13,10
77,Gray Pro Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,153.72,30
78,Black Sport Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,82.62,15
